x,n,Series F(x),Math F(x),abs_error
-1,10,2.962490973,3.141592654,0.1791016809
-0.95,9,2.804982728,2.824032224,0.01904949626
-0.9,9,2.685939418,2.690565842,0.004626424261
-0.85,8,2.584838604,2.586781621,0.001943016122
-0.8,8,2.497512818,2.498091545,0.0005787269942
-0.75,7,2.418504145,2.418858406,0.0003542611778
-0.7,7,2.346081296,2.346193823,0.0001125277461
-0.65,6,2.278282877,2.278380764,9.788701198e-05
-0.6,6,2.214265387,2.214297436,3.204897302e-05
-0.55,5,2.153119705,2.153160565,4.08598111e-05
-0.5,5,2.094381522,2.094395102,1.358020829e-05
-0.45,5,2.037557594,2.037561666,4.071960407e-06
-0.4,4,1.982304136,1.982313173,9.036543678e-06
-0.35,4,1.928364797,1.92836743,2.633349286e-06
-0.3,3,1.875478577,1.875488981,1.04040154e-05
-0.25,3,1.823473736,1.823476582,2.846287912e-06
-0.2,2,1.77212966,1.772154248,2.4587457e-05
-0.15,2,1.721358827,1.7213646,5.772776686e-06
-0.1,1,1.670796327,1.670963748,0.0001674211616
-0.05,1,1.620796327,1.620817184,2.085680577e-05
0,1,1.570796327,1.570796327,0
0.05,1,1.520796327,1.52077547,2.085680577e-05
0.1,1,1.470796327,1.470628906,0.0001674211616
0.15,2,1.420233827,1.420228054,5.772776686e-06
0.2,2,1.369462993,1.369438406,2.4587457e-05
0.25,3,1.318118918,1.318116072,2.846287912e-06
0.3,3,1.266114077,1.266103673,1.04040154e-05
0.35,4,1.213227856,1.213225223,2.633349286e-06
0.4,4,1.159288517,1.159279481,9.036543678e-06
0.45,5,1.10403506,1.104030988,4.071960406e-06
0.5,5,1.047211131,1.047197551,1.358020829e-05
0.55,5,0.9884729487,0.9884320889,4.08598111e-05
0.6,6,0.927327267,0.927295218,3.204897302e-05
0.65,6,0.8633097771,0.8632118901,9.788701198e-05
0.7,7,0.7955113579,0.7953988302,0.0001125277461
0.75,7,0.723088509,0.7227342478,0.0003542611778
0.8,8,0.6440798358,0.6435011088,0.0005787269942
0.85,8,0.5567540491,0.554811033,0.001943016122
0.9,9,0.4556532361,0.4510268118,0.004626424261
0.95,9,0.3366099256,0.3175604293,0.01904949626
1,10,0.1791016809,0,0.1791016809
